symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,brand,price_range,section_horsepower,vertical_rpm,claster
3,gas,std,two,convertible,rwd,front,dohc,four,mpfi,alfa-romero,medium_price,-.0269662910090194,-1.22669541924781,2
3,gas,std,two,convertible,rwd,front,dohc,four,mpfi,alfa-romero,medium_price,-.0269662910090194,-1.22669541924781,2
1,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,alfa-romero,medium_price,.177343841973611,-.765153700173088,2
2,gas,std,four,sedan,fwd,front,ohc,four,mpfi,audi,medium_price,-.094327544545741,-.129559013056132,1
2,gas,std,four,sedan,4wd,front,ohc,five,mpfi,audi,medium_price,.464000946966603,-.543716162451259,1
2,gas,std,two,sedan,fwd,front,ohc,five,mpfi,audi,medium_price,.297462429124417,-.581580437316014,1
1,gas,std,four,sedan,fwd,front,ohc,five,mpfi,audi,medium_price,.942389527224617,.277981522050694,1
1,gas,std,four,wagon,fwd,front,ohc,five,mpfi,audi,medium_price,.97555814101949,.286303270737686,1
1,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,audi,high_price,1.21341984357579,.0623206083704828,2
0,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,audi,medium_price,.891970655948373,-1.09709173229363,1
2,gas,std,two,sedan,rwd,front,ohc,four,mpfi,bmw,medium_price,.0713869657802628,-.444692644716234,2
0,gas,std,four,sedan,rwd,front,ohc,four,mpfi,bmw,medium_price,.0713869657802628,-.444692644716234,2
0,gas,std,two,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,.290028311761669,.432451943755703,2
0,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,.306612618659106,.436612818099199,2
1,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,.72777566510008,.844693648396892,2
0,gas,std,four,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,1.61959582299989,-.467258672824936,2
0,gas,std,two,sedan,rwd,front,ohc,six,mpfi,bmw,high_price,1.80039322066679,-.630233610125014,2
